categoria_completa,categoria,nivel_1,nivel_2,nivel_3,nivel_4,categoria_real,quantidade,link
Acessórios para Veículos / Aces. de Carros e Caminhonetes / Exterior / Acesso Lateral / Barras Passo Nerf,Acessórios para Veículos > Aces. de Carros e Caminhonetes > Exterior > Acesso Lateral,Acessórios para Veículos,Aces. de Carros e Caminhonetes,Exterior,Acesso Lateral,Barras Passo Nerf,7,https://lista.mercadolivre.com.br/acessorios-veiculos/aces-carros-caminhonetes/exterior/acesso-lateral/barras-passo-nerf/_NoIndex_True?original_category_landing=true
Acessórios para Veículos / Aces. de Carros e Caminhonetes / Exterior / Acessórios de Caçamba / Colchoes Ar,Acessórios para Veículos > Aces. de Carros e Caminhonetes > Exterior > Acessórios de Caçamba,Acessórios para Veículos,Aces. de Carros e Caminhonetes,Exterior,Acessórios de Caçamba,Colchoes Ar,7,https://lista.mercadolivre.com.br/acessorios-veiculos/aces-carros-caminhonetes/exterior/acessorios-cacamba/colchoes-ar/_NoIndex_True?original_category_landing=true
Acessórios para Veículos / Aces. de Carros e Caminhonetes / Exterior / Acessórios para Rodas > Antiderrapantes para Neve / Cabos Pneus,Acessórios para Veículos > Aces. de Carros e Caminhonetes > Exterior > Acessórios para Rodas > Antiderrapantes para Neve,Acessórios para Veículos,Aces. de Carros e Caminhonetes,Exterior,Acessórios para Rodas > Antiderrapantes para Neve,Cabos Pneus,1,https://lista.mercadolivre.com.br/acessorios-veiculos/aces-carros-caminhonetes/exterior/acessorios-rodas/antiderrapantes-neve/cabos-pneus/_NoIndex_True?original_category_landing=true
Acessórios para Veículos / Aces. de Carros e Caminhonetes / Exterior / Acessórios para Rodas > Antiderrapantes para Neve / Capas Neve Pneus,Acessórios para Veículos > Aces. de Carros e Caminhonetes > Exterior > Acessórios para Rodas > Antiderrapantes para Neve,Acessórios para Veículos,Aces. de Carros e Caminhonetes,Exterior,Acessórios para Rodas > Antiderrapantes para Neve,Capas Neve Pneus,3,https://lista.mercadolivre.com.br/acessorios-veiculos/aces-carros-caminhonetes/exterior/acessorios-rodas/antiderrapantes-neve/capas-neve-pneus/_NoIndex_True?original_category_landing=true
Acessórios para Veículos / Aces. de Carros e Caminhonetes / Exterior / Acessórios para Rodas > Antiderrapantes para Neve / Outros,Acessórios para Veículos > Aces. de Carros e Caminhonetes > Exterior > Acessórios para Rodas > Antiderrapantes para Neve,Acessórios para Veículos,Aces. de Carros e Caminhonetes,Exterior,Acessórios para Rodas > Antiderrapantes para Neve,Outros,1,https://lista.mercadolivre.com.br/acessorios-veiculos/aces-carros-caminhonetes/exterior/acessorios-rodas/antiderrapantes-neve/outros/_NoIndex_True?original_category_landing=true
Acessórios para Veículos / Aces. de Carros e Caminhonetes / Exterior / Acessórios para Rodas / Cortadores Sulcos Pneus,Acessórios para Veículos > Aces. de Carros e Caminhonetes > Exterior > Acessórios para Rodas,Acessórios para Veículos,Aces. de Carros e Caminhonetes,Exterior,Acessórios para Rodas,Cortadores Sulcos Pneus,1,https://lista.mercadolivre.com.br/acessorios-veiculos/aces-carros-caminhonetes/exterior/acessorios-rodas/cortadores-sulcos-pneus/_NoIndex_True?original_category_landing=true
Acessórios para Veículos / Aces. de Carros e Caminhonetes / Exterior / Acessórios para Rodas > Kit Ferramentas de Emergência / Outros,Acessórios para Veículos > Aces. de Carros e Caminhonetes > Exterior > Acessórios para Rodas > Kit Ferramentas de Emergência,Acessórios para Veículos,Aces. de Carros e Caminhonetes,Exterior,Acessórios para Rodas > Kit Ferramentas de Emergência,Outros,1,https://lista.mercadolivre.com.br/acessorios-veiculos/aces-carros-caminhonetes/exterior/acessorios-rodas/kit-ferramentas-emergencia/outros/_NoIndex_True?original_category_landing=true
Acessórios para Veículos / Aces. de Carros e Caminhonetes / Exterior / Capas para Pneus / Capotas Semirrigidas,Acessórios para Veículos > Aces. de Carros e Caminhonetes > Exterior > Capas para Pneus,Acessórios para Veículos,Aces. de Carros e Caminhonetes,Exterior,Capas para Pneus,Capotas Semirrigidas,2,https://lista.mercadolivre.com.br/acessorios-veiculos/aces-carros-caminhonetes/exterior/apas-pneus/capotas-semirrigidas/_NoIndex_True?original_category_landing=true
Acessórios para Veículos / Aces. de Carros e Caminhonetes / Exterior / Capas para Pneus / Outros,Acessórios para Veículos > Aces. de Carros e Caminhonetes > Exterior > Capas para Pneus,Acessórios para Veículos,Aces. de Carros e Caminhonetes,Exterior,Capas para Pneus,Outros,7,https://lista.mercadolivre.com.br/acessorios-veiculos/aces-carros-caminhonetes/exterior/apas-pneus/outros/_NoIndex_True?original_category_landing=true
Acessórios para Veículos / Aces. de Carros e Caminhonetes / Exterior / Engates / Engates Distribuicao Peso,Acessórios para Veículos > Aces. de Carros e Caminhonetes > Exterior > Engates,Acessórios para Veículos,Aces. de Carros e Caminhonetes,Exterior,Engates,Engates Distribuicao Peso,1,https://lista.mercadolivre.com.br/acessorios-veiculos/aces-carros-caminhonetes/exterior/engates/engates-distribuicao-peso/_NoIndex_True?original_category_landing=true
Acessórios para Veículos / Aces. de Carros e Caminhonetes / Exterior / Engates / Engates Pescoco Ganso,Acessórios para Veículos > Aces. de Carros e Caminhonetes > Exterior > Engates,Acessórios para Veículos,Aces. de Carros e Caminhonetes,Exterior,Engates,Engates Pescoco Ganso,6,https://lista.mercadolivre.com.br/acessorios-veiculos/aces-carros-caminhonetes/exterior/engates/engates-pescoco-ganso/_NoIndex_True?original_category_landing=true
Acessórios para Veículos / Aces. de Carros e Caminhonetes / Exterior / Engates / Engates Quinta Roda,Acessórios para Veículos > Aces. de Carros e Caminhonetes > Exterior > Engates,Acessórios para Veículos,Aces. de Carros e Caminhonetes,Exterior,Engates,Engates Quinta Roda,3,https://lista.mercadolivre.com.br/acessorios-veiculos/aces-carros-caminhonetes/exterior/engates/engates-quinta-roda/_NoIndex_True?original_category_landing=true
Acessórios para Veículos / Aces. de Carros e Caminhonetes / Exterior / Engates / Extensores Engate,Acessórios para Veículos > Aces. de Carros e Caminhonetes > Exterior > Engates,Acessórios para Veículos,Aces. de Carros e Caminhonetes,Exterior,Engates,Extensores Engate,4,https://lista.mercadolivre.com.br/acessorios-veiculos/aces-carros-caminhonetes/exterior/engates/extensores-engate/_NoIndex_True?original_category_landing=true
Acessórios para Veículos / Aces. de Carros e Caminhonetes / Exterior / Película para Vidros > Filmes Cerâmicos / Filmes Ceramicos,Acessórios para Veículos > Aces. de Carros e Caminhonetes > Exterior > Película para Vidros > Filmes Cerâmicos,Acessórios para Veículos,Aces. de Carros e Caminhonetes,Exterior,Película para Vidros > Filmes Cerâmicos,Filmes Ceramicos,0,https://lista.mercadolivre.com.br/acessorios-veiculos/aces-carros-caminhonetes/exterior/pelicula-vidros/filmes-ceramicos/
Acessórios para Veículos / Aces. de Carros e Caminhonetes / Exterior / Película para Vidros > Filmes Híbridos / Filmes Hibridos,Acessórios para Veículos > Aces. de Carros e Caminhonetes > Exterior > Película para Vidros > Filmes Híbridos,Acessórios para Veículos,Aces. de Carros e Caminhonetes,Exterior,Película para Vidros > Filmes Híbridos,Filmes Hibridos,0,https://lista.mercadolivre.com.br/acessorios-veiculos/aces-carros-caminhonetes/exterior/pelicula-vidros/filmes-hibridos/
Acessórios para Veículos / Aces. de Carros e Caminhonetes / Exterior / Película para Vidros / Filmes Metalizados,Acessórios para Veículos > Aces. de Carros e Caminhonetes > Exterior > Película para Vidros,Acessórios para Veículos,Aces. de Carros e Caminhonetes,Exterior,Película para Vidros,Filmes Metalizados,1,https://lista.mercadolivre.com.br/acessorios-veiculos/aces-carros-caminhonetes/exterior/pelicula-vidros/filmes-metalizados/_NoIndex_True?original_category_landing=true
